,true_label,predicted_label,predict_vote,max_count
0,6,5,"[21.0, 23.0, 26.0, 21.0, 9.0]",26
1,6,4,"[20.0, 25.0, 19.0, 25.0, 11.0]",25
2,6,4,"[21.0, 26.0, 17.0, 21.0, 15.0]",26
3,5,5,"[19.0, 14.0, 27.0, 16.0, 24.0]",27
4,7,6,"[21.0, 10.0, 17.0, 34.0, 18.0]",34
5,5,5,"[20.0, 13.0, 31.0, 15.0, 21.0]",31
6,7,7,"[23.0, 15.0, 21.0, 15.0, 26.0]",26
7,6,2,"[24.0, 15.0, 21.0, 20.0, 20.0]",24
8,7,2,"[28.0, 20.0, 15.0, 10.0, 27.0]",28
9,4,5,"[23.0, 14.0, 27.0, 16.0, 20.0]",27
10,5,2,"[34.0, 23.0, 16.0, 9.0, 18.0]",34
11,2,6,"[22.0, 14.0, 19.0, 26.0, 19.0]",26
12,4,4,"[17.0, 28.0, 18.0, 20.0, 17.0]",28
13,6,4,"[19.0, 27.0, 22.0, 16.0, 16.0]",27
14,6,7,"[17.0, 10.0, 27.0, 14.0, 32.0]",32
15,5,2,"[28.0, 21.0, 19.0, 22.0, 10.0]",28
16,4,2,"[31.0, 18.0, 27.0, 11.0, 13.0]",31
17,5,2,"[25.0, 13.0, 19.0, 21.0, 22.0]",25
18,2,6,"[21.0, 14.0, 23.0, 25.0, 17.0]",25
19,4,4,"[13.0, 30.0, 19.0, 14.0, 24.0]",30
20,5,5,"[26.0, 24.0, 28.0, 8.0, 14.0]",28
21,4,4,"[25.0, 28.0, 16.0, 15.0, 16.0]",28
22,6,2,"[35.0, 24.0, 13.0, 19.0, 9.0]",35
23,5,4,"[23.0, 24.0, 19.0, 17.0, 17.0]",24
24,6,2,"[29.0, 15.0, 16.0, 16.0, 24.0]",29
25,7,7,"[20.0, 16.0, 23.0, 14.0, 27.0]",27
26,6,7,"[22.0, 14.0, 19.0, 22.0, 23.0]",23
27,7,5,"[16.0, 24.0, 25.0, 18.0, 17.0]",25
28,7,2,"[29.0, 9.0, 21.0, 27.0, 14.0]",29
29,4,2,"[26.0, 15.0, 19.0, 15.0, 25.0]",26
30,6,2,"[30.0, 22.0, 17.0, 13.0, 18.0]",30
31,7,4,"[17.0, 28.0, 18.0, 19.0, 18.0]",28
32,6,5,"[19.0, 14.0, 25.0, 21.0, 21.0]",25
33,6,7,"[19.0, 21.0, 16.0, 20.0, 24.0]",24
34,2,7,"[14.0, 23.0, 17.0, 21.0, 25.0]",25
35,2,2,"[28.0, 14.0, 20.0, 18.0, 20.0]",28
36,7,2,"[27.0, 14.0, 14.0, 23.0, 22.0]",27
37,2,2,"[25.0, 22.0, 21.0, 13.0, 19.0]",25
38,6,2,"[25.0, 21.0, 18.0, 17.0, 19.0]",25
39,2,5,"[23.0, 19.0, 25.0, 15.0, 18.0]",25
40,7,5,"[20.0, 18.0, 33.0, 14.0, 15.0]",33
41,2,2,"[30.0, 18.0, 24.0, 10.0, 18.0]",30
42,5,2,"[27.0, 16.0, 24.0, 7.0, 26.0]",27
43,2,7,"[19.0, 14.0, 27.0, 11.0, 29.0]",29
44,7,2,"[31.0, 13.0, 25.0, 14.0, 17.0]",31
45,6,5,"[18.0, 23.0, 25.0, 14.0, 20.0]",25
46,4,2,"[26.0, 12.0, 23.0, 23.0, 16.0]",26
47,6,7,"[22.0, 20.0, 19.0, 16.0, 23.0]",23
48,6,2,"[25.0, 17.0, 25.0, 10.0, 23.0]",25
49,7,2,"[29.0, 19.0, 19.0, 16.0, 17.0]",29
50,4,4,"[18.0, 25.0, 16.0, 16.0, 25.0]",25
51,5,7,"[24.0, 21.0, 15.0, 15.0, 25.0]",25
52,6,6,"[19.0, 12.0, 29.0, 31.0, 9.0]",31
53,6,2,"[25.0, 19.0, 17.0, 24.0, 15.0]",25
54,7,5,"[11.0, 4.0, 42.0, 15.0, 28.0]",42
55,4,4,"[19.0, 23.0, 15.0, 23.0, 20.0]",23
56,6,6,"[20.0, 16.0, 25.0, 26.0, 13.0]",26
57,2,2,"[29.0, 25.0, 18.0, 12.0, 16.0]",29
58,4,5,"[20.0, 14.0, 25.0, 16.0, 25.0]",25
59,2,2,"[27.0, 14.0, 18.0, 25.0, 16.0]",27
60,7,5,"[18.0, 17.0, 34.0, 20.0, 11.0]",34
61,2,7,"[17.0, 15.0, 28.0, 11.0, 29.0]",29
62,5,5,"[9.0, 23.0, 31.0, 8.0, 29.0]",31
