,true_label,predicted_label,predict_vote,max_count
0,6,5,"[20.0, 13.0, 25.0, 19.0, 23.0]",25
1,6,2,"[24.0, 24.0, 16.0, 23.0, 13.0]",24
2,6,6,"[19.0, 21.0, 19.0, 23.0, 18.0]",23
3,5,6,"[8.0, 19.0, 27.0, 29.0, 17.0]",29
4,7,7,"[21.0, 14.0, 13.0, 24.0, 28.0]",28
5,5,5,"[15.0, 15.0, 30.0, 17.0, 23.0]",30
6,7,4,"[19.0, 25.0, 16.0, 19.0, 21.0]",25
7,6,5,"[16.0, 23.0, 24.0, 23.0, 14.0]",24
8,7,4,"[16.0, 28.0, 28.0, 12.0, 16.0]",28
9,4,6,"[23.0, 21.0, 16.0, 25.0, 15.0]",25
10,5,2,"[32.0, 19.0, 19.0, 9.0, 21.0]",32
11,2,5,"[23.0, 14.0, 26.0, 20.0, 17.0]",26
12,4,4,"[18.0, 32.0, 19.0, 16.0, 15.0]",32
13,6,2,"[25.0, 21.0, 14.0, 18.0, 22.0]",25
14,6,2,"[24.0, 24.0, 19.0, 9.0, 24.0]",24
15,5,2,"[33.0, 22.0, 12.0, 14.0, 19.0]",33
16,4,6,"[21.0, 22.0, 19.0, 23.0, 15.0]",23
17,5,7,"[20.0, 18.0, 17.0, 13.0, 32.0]",32
18,2,4,"[16.0, 26.0, 24.0, 22.0, 12.0]",26
19,4,2,"[28.0, 20.0, 19.0, 17.0, 16.0]",28
20,5,5,"[18.0, 23.0, 25.0, 17.0, 17.0]",25
21,4,2,"[29.0, 17.0, 19.0, 17.0, 18.0]",29
22,6,2,"[24.0, 23.0, 21.0, 20.0, 12.0]",24
23,5,5,"[24.0, 12.0, 36.0, 16.0, 12.0]",36
24,6,5,"[16.0, 20.0, 27.0, 16.0, 21.0]",27
25,7,5,"[15.0, 21.0, 25.0, 15.0, 24.0]",25
26,6,5,"[22.0, 13.0, 24.0, 23.0, 18.0]",24
27,7,7,"[21.0, 19.0, 18.0, 16.0, 26.0]",26
28,7,6,"[26.0, 11.0, 16.0, 33.0, 14.0]",33
29,4,4,"[23.0, 24.0, 14.0, 22.0, 17.0]",24
30,6,2,"[31.0, 21.0, 17.0, 10.0, 21.0]",31
31,7,2,"[28.0, 17.0, 19.0, 15.0, 21.0]",28
32,6,6,"[16.0, 19.0, 14.0, 36.0, 15.0]",36
33,6,6,"[21.0, 14.0, 19.0, 26.0, 20.0]",26
34,2,7,"[17.0, 21.0, 18.0, 19.0, 25.0]",25
35,2,2,"[27.0, 26.0, 18.0, 15.0, 14.0]",27
36,7,5,"[20.0, 20.0, 23.0, 20.0, 17.0]",23
37,2,2,"[32.0, 27.0, 7.0, 19.0, 15.0]",32
38,6,5,"[21.0, 14.0, 23.0, 23.0, 19.0]",23
39,2,2,"[27.0, 17.0, 19.0, 14.0, 23.0]",27
40,7,2,"[30.0, 19.0, 17.0, 12.0, 22.0]",30
41,2,2,"[37.0, 14.0, 20.0, 15.0, 14.0]",37
42,5,2,"[27.0, 26.0, 21.0, 4.0, 22.0]",27
43,2,5,"[15.0, 16.0, 30.0, 19.0, 20.0]",30
44,7,2,"[27.0, 26.0, 25.0, 12.0, 10.0]",27
45,6,2,"[27.0, 19.0, 20.0, 15.0, 19.0]",27
46,4,2,"[31.0, 17.0, 17.0, 21.0, 14.0]",31
