,true_label,predicted_label,predict_vote,max_count
0,6,4,"[21.0, 25.0, 12.0, 20.0, 22.0]",25
1,6,6,"[19.0, 14.0, 18.0, 28.0, 21.0]",28
2,6,2,"[29.0, 16.0, 21.0, 19.0, 15.0]",29
3,5,6,"[17.0, 19.0, 23.0, 25.0, 16.0]",25
4,7,5,"[20.0, 8.0, 28.0, 21.0, 23.0]",28
5,5,5,"[20.0, 13.0, 30.0, 19.0, 18.0]",30
6,7,7,"[15.0, 20.0, 23.0, 13.0, 29.0]",29
7,6,6,"[24.0, 21.0, 10.0, 28.0, 17.0]",28
8,7,5,"[19.0, 16.0, 25.0, 15.0, 25.0]",25
9,4,5,"[14.0, 15.0, 32.0, 23.0, 16.0]",32
10,5,2,"[28.0, 25.0, 19.0, 10.0, 18.0]",28
11,2,2,"[28.0, 23.0, 9.0, 24.0, 16.0]",28
12,4,5,"[18.0, 21.0, 23.0, 22.0, 16.0]",23
13,6,2,"[23.0, 22.0, 12.0, 20.0, 23.0]",23
14,6,4,"[21.0, 22.0, 18.0, 22.0, 17.0]",22
15,5,2,"[22.0, 18.0, 22.0, 22.0, 16.0]",22
16,4,5,"[20.0, 17.0, 25.0, 23.0, 15.0]",25
17,5,7,"[18.0, 12.0, 21.0, 24.0, 25.0]",25
18,2,6,"[19.0, 17.0, 15.0, 31.0, 18.0]",31
19,4,5,"[17.0, 22.0, 23.0, 22.0, 16.0]",23
20,5,5,"[18.0, 24.0, 27.0, 10.0, 21.0]",27
21,4,4,"[15.0, 25.0, 21.0, 20.0, 19.0]",25
22,6,2,"[28.0, 19.0, 16.0, 25.0, 12.0]",28
23,5,2,"[26.0, 21.0, 23.0, 12.0, 18.0]",26
24,6,2,"[27.0, 18.0, 24.0, 12.0, 19.0]",27
25,7,5,"[24.0, 17.0, 25.0, 17.0, 17.0]",25
26,6,5,"[20.0, 19.0, 25.0, 20.0, 16.0]",25
27,7,5,"[22.0, 18.0, 34.0, 5.0, 21.0]",34
28,7,6,"[16.0, 18.0, 24.0, 25.0, 17.0]",25
29,4,2,"[26.0, 18.0, 19.0, 20.0, 17.0]",26
30,6,4,"[16.0, 28.0, 18.0, 16.0, 22.0]",28
31,7,4,"[16.0, 24.0, 22.0, 18.0, 20.0]",24
32,6,6,"[15.0, 18.0, 19.0, 36.0, 12.0]",36
33,6,7,"[23.0, 16.0, 15.0, 15.0, 31.0]",31
34,2,6,"[18.0, 22.0, 21.0, 26.0, 13.0]",26
35,2,2,"[28.0, 16.0, 21.0, 14.0, 21.0]",28
36,7,2,"[29.0, 14.0, 18.0, 24.0, 15.0]",29
37,2,7,"[23.0, 19.0, 21.0, 13.0, 24.0]",24
38,6,2,"[22.0, 20.0, 21.0, 22.0, 15.0]",22
39,2,4,"[22.0, 25.0, 22.0, 12.0, 19.0]",25
40,7,5,"[23.0, 15.0, 24.0, 15.0, 23.0]",24
41,2,2,"[34.0, 18.0, 19.0, 9.0, 20.0]",34
42,5,7,"[25.0, 14.0, 24.0, 5.0, 32.0]",32
43,2,4,"[21.0, 23.0, 17.0, 21.0, 18.0]",23
44,7,2,"[39.0, 21.0, 12.0, 15.0, 13.0]",39
