,true_label,predicted_label,predict_vote,max_count
0,6,6,"[20.0, 19.0, 21.0, 25.0, 15.0]",25
1,6,6,"[19.0, 20.0, 18.0, 29.0, 14.0]",29
2,6,5,"[17.0, 16.0, 23.0, 22.0, 22.0]",23
3,5,6,"[13.0, 18.0, 23.0, 26.0, 20.0]",26
4,7,6,"[19.0, 14.0, 19.0, 25.0, 23.0]",25
5,5,5,"[10.0, 21.0, 32.0, 16.0, 21.0]",32
6,7,5,"[21.0, 19.0, 26.0, 10.0, 24.0]",26
7,6,5,"[18.0, 17.0, 33.0, 17.0, 15.0]",33
8,7,5,"[19.0, 22.0, 26.0, 14.0, 19.0]",26
9,4,4,"[16.0, 24.0, 20.0, 22.0, 18.0]",24
10,5,2,"[26.0, 22.0, 22.0, 12.0, 18.0]",26
11,2,2,"[24.0, 16.0, 15.0, 24.0, 21.0]",24
12,4,7,"[12.0, 19.0, 23.0, 22.0, 24.0]",24
13,6,4,"[24.0, 25.0, 15.0, 18.0, 18.0]",25
14,6,7,"[16.0, 24.0, 17.0, 12.0, 31.0]",31
15,5,2,"[24.0, 18.0, 24.0, 20.0, 14.0]",24
16,4,7,"[20.0, 18.0, 22.0, 12.0, 28.0]",28
17,5,6,"[20.0, 21.0, 21.0, 22.0, 16.0]",22
18,2,5,"[18.0, 14.0, 31.0, 24.0, 13.0]",31
19,4,7,"[21.0, 20.0, 16.0, 20.0, 23.0]",23
20,5,5,"[18.0, 23.0, 26.0, 12.0, 21.0]",26
21,4,4,"[14.0, 25.0, 20.0, 19.0, 22.0]",25
22,6,7,"[22.0, 17.0, 20.0, 17.0, 24.0]",24
23,5,5,"[20.0, 14.0, 24.0, 21.0, 21.0]",24
24,6,2,"[24.0, 23.0, 15.0, 17.0, 21.0]",24
25,7,4,"[19.0, 24.0, 20.0, 18.0, 19.0]",24
26,6,6,"[26.0, 15.0, 17.0, 28.0, 14.0]",28
27,7,5,"[15.0, 15.0, 29.0, 18.0, 23.0]",29
28,7,2,"[27.0, 12.0, 21.0, 21.0, 19.0]",27
29,4,2,"[28.0, 22.0, 14.0, 18.0, 18.0]",28
30,6,4,"[21.0, 33.0, 24.0, 8.0, 14.0]",33
31,7,7,"[17.0, 21.0, 22.0, 11.0, 29.0]",29
32,6,6,"[23.0, 16.0, 14.0, 27.0, 20.0]",27
33,6,2,"[23.0, 12.0, 22.0, 21.0, 22.0]",23
34,2,2,"[23.0, 20.0, 17.0, 19.0, 21.0]",23
35,2,4,"[21.0, 24.0, 14.0, 21.0, 20.0]",24
36,7,2,"[30.0, 19.0, 20.0, 17.0, 14.0]",30
37,2,4,"[21.0, 29.0, 25.0, 8.0, 17.0]",29
38,6,5,"[16.0, 20.0, 22.0, 22.0, 20.0]",22
39,2,2,"[26.0, 20.0, 14.0, 20.0, 20.0]",26
40,7,2,"[27.0, 15.0, 21.0, 16.0, 21.0]",27
41,2,2,"[32.0, 18.0, 18.0, 14.0, 18.0]",32
42,5,7,"[19.0, 22.0, 22.0, 9.0, 28.0]",28
43,2,2,"[26.0, 17.0, 18.0, 13.0, 26.0]",26
44,7,2,"[27.0, 17.0, 27.0, 13.0, 16.0]",27
45,6,7,"[19.0, 20.0, 20.0, 18.0, 23.0]",23
46,4,2,"[24.0, 18.0, 18.0, 21.0, 19.0]",24
47,6,5,"[19.0, 17.0, 24.0, 18.0, 22.0]",24
48,6,2,"[29.0, 19.0, 20.0, 18.0, 14.0]",29
49,7,2,"[32.0, 15.0, 22.0, 15.0, 16.0]",32
50,4,4,"[24.0, 25.0, 14.0, 22.0, 15.0]",25
51,5,4,"[21.0, 22.0, 21.0, 18.0, 18.0]",22
52,6,5,"[24.0, 11.0, 32.0, 22.0, 11.0]",32
53,6,6,"[25.0, 14.0, 14.0, 26.0, 21.0]",26
54,7,5,"[11.0, 8.0, 39.0, 19.0, 23.0]",39
55,4,2,"[32.0, 12.0, 19.0, 21.0, 16.0]",32
56,6,7,"[13.0, 25.0, 20.0, 16.0, 26.0]",26
57,2,2,"[31.0, 21.0, 13.0, 22.0, 13.0]",31
58,4,4,"[20.0, 24.0, 21.0, 19.0, 16.0]",24
59,2,4,"[24.0, 27.0, 8.0, 23.0, 18.0]",27
60,7,5,"[15.0, 19.0, 31.0, 18.0, 17.0]",31
61,2,7,"[25.0, 16.0, 21.0, 7.0, 31.0]",31
62,5,4,"[15.0, 28.0, 20.0, 10.0, 27.0]",28
63,2,2,"[28.0, 22.0, 12.0, 22.0, 16.0]",28
64,4,5,"[25.0, 22.0, 29.0, 7.0, 17.0]",29
65,2,5,"[21.0, 15.0, 30.0, 16.0, 18.0]",30
66,7,7,"[17.0, 19.0, 19.0, 14.0, 31.0]",31
67,2,6,"[24.0, 19.0, 19.0, 26.0, 12.0]",26
68,6,2,"[25.0, 22.0, 15.0, 25.0, 13.0]",25
69,5,7,"[22.0, 17.0, 22.0, 13.0, 26.0]",26
70,6,2,"[24.0, 21.0, 17.0, 23.0, 15.0]",24
71,7,2,"[28.0, 21.0, 17.0, 18.0, 16.0]",28
72,6,4,"[21.0, 22.0, 22.0, 22.0, 13.0]",22
73,2,5,"[21.0, 14.0, 38.0, 10.0, 17.0]",38
74,5,6,"[17.0, 13.0, 24.0, 27.0, 19.0]",27
75,2,5,"[15.0, 19.0, 24.0, 24.0, 18.0]",24
76,6,2,"[30.0, 14.0, 21.0, 21.0, 14.0]",30
77,5,4,"[21.0, 29.0, 25.0, 14.0, 11.0]",29
78,2,2,"[30.0, 18.0, 26.0, 15.0, 11.0]",30
79,5,4,"[22.0, 29.0, 12.0, 17.0, 20.0]",29
80,4,6,"[19.0, 21.0, 17.0, 28.0, 15.0]",28
81,2,2,"[30.0, 22.0, 20.0, 12.0, 16.0]",30
82,6,2,"[29.0, 16.0, 25.0, 17.0, 13.0]",29
83,6,5,"[18.0, 24.0, 30.0, 17.0, 11.0]",30
84,4,7,"[23.0, 19.0, 21.0, 13.0, 24.0]",24
85,4,2,"[26.0, 24.0, 16.0, 17.0, 17.0]",26
86,5,7,"[21.0, 19.0, 16.0, 17.0, 27.0]",27
87,7,2,"[27.0, 19.0, 21.0, 20.0, 13.0]",27
88,5,5,"[23.0, 13.0, 27.0, 20.0, 17.0]",27
89,5,5,"[20.0, 11.0, 30.0, 19.0, 20.0]",30
90,2,4,"[18.0, 26.0, 19.0, 17.0, 20.0]",26
91,2,6,"[20.0, 21.0, 15.0, 25.0, 19.0]",25
92,6,6,"[20.0, 23.0, 12.0, 28.0, 17.0]",28
93,4,2,"[25.0, 23.0, 15.0, 19.0, 18.0]",25
94,5,5,"[14.0, 21.0, 26.0, 16.0, 23.0]",26
95,7,2,"[29.0, 18.0, 20.0, 19.0, 14.0]",29
96,2,6,"[18.0, 22.0, 13.0, 25.0, 22.0]",25
97,7,5,"[9.0, 14.0, 43.0, 7.0, 27.0]",43
98,5,7,"[27.0, 14.0, 19.0, 10.0, 30.0]",30
99,7,7,"[19.0, 24.0, 20.0, 10.0, 27.0]",27
100,5,2,"[26.0, 22.0, 19.0, 15.0, 18.0]",26
101,7,7,"[26.0, 20.0, 13.0, 12.0, 29.0]",29
102,7,2,"[27.0, 25.0, 14.0, 13.0, 21.0]",27
103,4,2,"[33.0, 15.0, 24.0, 14.0, 14.0]",33
104,5,2,"[25.0, 21.0, 19.0, 15.0, 20.0]",25
105,7,5,"[21.0, 21.0, 22.0, 20.0, 16.0]",22
106,2,2,"[26.0, 26.0, 21.0, 6.0, 21.0]",26
107,7,4,"[22.0, 28.0, 17.0, 15.0, 18.0]",28
108,6,6,"[20.0, 19.0, 18.0, 23.0, 20.0]",23
109,4,5,"[15.0, 16.0, 30.0, 23.0, 16.0]",30
110,6,7,"[13.0, 17.0, 20.0, 23.0, 27.0]",27
111,4,2,"[28.0, 19.0, 20.0, 9.0, 24.0]",28
112,7,2,"[23.0, 22.0, 17.0, 23.0, 15.0]",23
113,6,2,"[25.0, 19.0, 16.0, 18.0, 22.0]",25
114,5,5,"[17.0, 18.0, 33.0, 12.0, 20.0]",33
115,5,5,"[26.0, 15.0, 27.0, 19.0, 13.0]",27
116,4,4,"[20.0, 24.0, 19.0, 23.0, 14.0]",24
117,5,2,"[31.0, 25.0, 15.0, 17.0, 12.0]",31
118,5,4,"[24.0, 29.0, 19.0, 10.0, 18.0]",29
119,2,4,"[17.0, 27.0, 16.0, 18.0, 22.0]",27
